z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
-0.5754075,0.114584394,0.0721759,1.0650414,0.019552913,0.1925165,0.17068198,-0.13948634,-4.147624,0.6959087,-0.38516116,-0.61865556,0.10732518,-0.17938715,0.76323557,1.1256226,2.1193328,-0.026705444,1.2298645,-1.1412307,0.52352273,0.7005812,0.80146074,0.41397884,-0.578437,1.4665878,0.6486988,-0.22964114,-0.61591434,0.32110292,0.21112528,0.89217484,0
-0.8496045,-0.7583148,1.401457,1.7976727,0.03370996,0.86441875,0.12787598,-0.17596596,1.0749348,-0.8407968,0.6928328,0.46783283,-0.47743052,1.1237909,-0.23069704,0.33262584,1.4670602,0.1106301,-0.26632,-2.1744168,-0.48319095,-1.8225014,0.974041,0.4074693,-0.6817673,-0.051104024,2.038008,-0.520852,-0.28839433,0.4434653,0.29844484,0.00204702,0
-0.80525625,-0.06685151,1.0244763,1.394401,-0.56244713,1.5285461,-0.21679994,0.5698518,1.6816673,0.3526585,1.2091904,-0.3842537,-0.23938388,1.6729202,0.6452209,-0.29835817,-0.2949731,0.19156732,0.47910392,-0.8509849,2.218058,-0.6905645,-0.6428004,0.025616623,-0.5055519,-0.292268,1.9328895,-0.28820625,0.37913325,-0.21431653,1.5761147,-0.96004814,0
1.5049912,0.84695303,-0.2565014,-2.45465,0.25446305,-0.6569319,0.11780635,1.3387781,0.7701099,1.0849886,0.16635002,0.9389304,0.58290523,0.2943016,0.72633207,0.99475336,-1.0902404,0.34872228,0.7288281,0.07228564,-1.1854043,2.2049222,0.31040955,0.3257516,-0.71076214,0.25067836,0.61601233,1.6104553,0.4258158,0.20534544,-0.1933847,1.5010657,0
-0.76703006,-0.84956384,-0.7110202,1.2017897,0.66868925,0.32338372,-0.4835914,-0.5057522,0.5711148,-0.23288085,0.08204213,3.3792818,-0.23281437,1.4653851,0.49719888,-1.8806405,0.38811782,-0.09419212,-0.64527315,2.1700366,-0.19097467,-0.18432602,-0.6962795,0.10775007,-0.9284407,-0.28308707,-0.6708788,0.41672072,-1.3428714,0.9498156,0.7634488,-2.2850635,0
-1.3381059,0.50420046,-1.0947278,0.396902,0.5901176,1.419905,0.883821,-0.08600411,0.113366544,-1.2038766,-0.80446166,-0.3862844,-0.2541057,-0.369563,1.0942811,0.6907988,-0.3978515,1.917658,1.4049667,1.6928742,0.30724698,-0.3975966,1.1007714,1.6421223,-0.7682226,1.6005607,1.3019897,-1.138377,0.5737616,-1.6404803,0.97389656,-1.8895,0
0.51058406,0.021424562,0.4318702,0.28226292,0.31907517,-1.0432636,-1.0907345,0.22887409,-1.5373315,-0.78715074,1.5563416,2.2168505,-1.7420918,0.03161292,0.9598473,-0.626613,-0.8023979,-0.34785396,-0.62085176,-0.34585866,-0.82607746,0.3900198,0.81854486,-1.5668119,0.19631255,0.0067810193,0.9801475,2.0710397,-0.71077913,0.31589395,0.6184443,0.39684212,0
-1.7091109,0.39259422,0.015331209,0.78627986,-0.22985265,-0.44817188,0.48748344,-1.0446193,-0.0673943,0.9062588,0.42269272,3.901347,0.92398614,0.85026586,-1.9116428,0.86334026,-0.36089244,-0.20683126,0.21199147,1.6086075,-1.3426187,0.20959732,0.3604346,0.49555558,0.5550262,-0.013361432,-0.5024287,-0.78905743,-0.5663867,-0.16872874,-0.6283059,-1.0166008,0
-0.31116408,0.47535527,-0.26881224,-0.33097973,1.3369024,-0.24372943,-1.4336607,0.19074447,-0.19962165,0.28831518,1.4531289,-1.5191581,-0.12323293,1.3391874,0.99680144,-2.2936387,-0.7202847,0.2402825,-0.3737738,-1.2802868,-1.0186994,0.061922014,-0.5109696,-1.7859375,-0.1533016,-0.940263,0.89628446,-0.20083296,0.30899802,-1.5353497,1.1224252,-0.7075048,0
-0.82852423,-0.6567229,0.33079985,0.96479833,1.3687885,0.24215864,-2.217585,-0.643935,0.55121547,0.14765802,2.2857482,0.5932774,-0.023236558,0.24351348,-2.6284146,0.1394708,-0.45115465,0.9120214,0.5439683,0.21650416,2.039913,0.44122463,-1.4227642,1.1128646,2.2424302,-1.0399995,1.8119514,0.975642,-1.0334052,-0.35957438,-0.52288604,0.20115119,0
0.8492213,0.7679063,0.15878552,-0.048240505,1.2223574,0.54616076,-1.1181761,0.8168269,0.7963879,1.3393611,-1.2845612,0.55630684,-1.0685538,-0.39163512,0.17766361,0.2499628,0.1284995,0.25328135,-1.0298437,-1.3483489,-0.8039668,1.4529805,0.08772048,-0.20153973,0.2218918,0.9623568,0.6927709,1.222531,-0.012763292,-0.37837604,0.04171765,1.6078857,0
-0.5265315,-0.26217508,-0.20481548,0.6283869,0.5561905,0.47333065,-1.7328082,-1.1553639,0.15844038,-0.2911914,2.7508843,2.534729,1.5916282,-0.12554838,-0.96279204,-1.0900872,-0.8415777,0.256728,-0.92126906,0.45173585,0.74252784,1.1806111,0.6392664,-0.6288429,1.0549476,-0.7498496,1.5769278,0.93742174,-1.7150626,-0.93200713,1.0659667,0.133786,0
-0.562777,-0.54757535,1.9248743,0.014278308,-0.060165107,1.338165,-0.22865038,-0.7683884,1.1942571,1.579046,0.8518541,-0.40490165,-0.3532073,2.0748062,0.3667185,-0.5941622,1.0826979,-0.21961764,-1.096383,-1.1028367,1.0464453,-0.7167575,0.50805855,0.51035416,0.3206908,0.17459077,2.4724472,-0.19899085,0.6282471,0.29841942,0.70866764,-1.2669184,0
-1.9697502,0.9204533,-0.15288913,0.30307162,0.8228781,-0.32201767,0.18242784,-0.000813514,0.046241395,0.11588426,-0.4349661,3.3248558,0.40453774,1.6532799,0.2334531,-1.1535597,0.17773916,-0.620376,1.4983646,2.4114847,-0.87237877,0.50242454,0.42438513,0.8723219,-0.13435085,-0.8128783,-0.1450471,0.22033736,-0.61281765,0.5226228,0.80557925,-2.5304415,0
-0.39117262,0.7038783,-0.54304546,-1.3626748,-1.9307792,-0.43710658,0.9610295,0.20752063,0.55999625,-0.22518796,-1.0887198,1.0982741,-1.7495533,1.3691393,0.4283836,0.8978076,0.14956222,0.14934503,-0.81713927,-1.1742946,0.4866728,1.8320175,0.33473936,0.0074632764,-0.12566838,0.031352967,0.9727366,0.7538377,-1.5298116,-0.74539936,-1.1956517,1.4238877,0
0.77602315,-0.05604235,-0.51080847,0.14968562,0.71179664,-1.3633362,0.15222763,-0.6638773,-0.43333837,-1.0100595,0.18108433,2.298277,1.0240003,-0.17297977,-1.0030639,1.4728888,-1.74082,0.43345925,0.10132479,1.9892949,-1.6698389,0.6187217,-0.25292733,0.80266213,0.45465416,0.61758316,-0.22841884,0.48086306,0.3569458,1.8242984,-1.2539738,0.8014071,0
0.23561695,-0.36923602,0.282465,0.2951775,-0.48395747,0.85533726,0.72086746,0.765793,1.8054504,-0.38985237,1.0248458,0.9020628,-0.9835294,1.9332757,-0.004611239,0.13394845,-0.32434025,-1.6852989,-0.8435043,-1.3953497,-0.9252442,-1.5292577,-0.008881666,-0.5685947,0.9902749,-0.6161715,2.2846298,-0.83428425,0.47839338,-1.3999578,1.0091331,-1.1476632,0
