z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
0.8205868,0.041723937,-1.8146863,0.56445414,1.6856107,0.66798526,0.21549374,0.85350186,0
-0.37155432,0.011507433,-1.3086909,-1.392715,0.074578,0.52360004,-0.51543266,1.9088298,0
2.1546822,-1.6608703,0.30118006,1.4076555,-1.5048673,-0.71946687,0.16265771,-1.320092,0
0.9377217,-1.0826365,1.2320027,2.568404,-1.2360189,1.6096183,-1.3922726,0.06758897,0
-0.47951096,-0.07536228,0.6154107,-2.3036397,0.82159984,0.7837503,-0.75480247,-0.04262787,0
0.066415384,-1.6304381,0.67598426,-1.3910753,0.76635635,0.099813506,1.0829122,-1.6568254,0
-0.29495457,0.15619937,-1.122402,-1.9002652,0.43016452,0.5016087,-0.06795954,1.0489236,0
-0.82482755,0.5671066,-1.7192152,-0.43806008,-0.308772,1.3868399,-0.7589998,0.7472867,0
-1.0129727,-1.2113433,0.8970541,-1.8270231,0.40946907,0.3713662,-1.2989173,0.89624864,0
-0.0074256966,0.07133514,-1.5174335,-1.4896196,0.47142848,0.50168324,0.25397104,1.2922634,0
1.1339493,-0.22023055,-0.06570587,0.16157001,0.3160781,1.8338265,-1.4282509,0.9364414,0
-0.6178713,-1.8084362,1.5869519,-1.0326341,-0.69397503,-1.137516,-1.2746934,-2.32418,0
-0.2934215,-0.30477086,-1.4442725,-1.1060622,0.18134516,0.5117513,-0.41870373,1.9990001,0
-1.184993,-1.169985,1.4529488,-1.7720945,0.57717776,0.7222367,-0.86362237,-0.5267774,0
-0.8597275,1.0253507,-0.042719096,-1.4634432,2.0174356,-0.098120704,0.3332288,-1.8963017,0
-0.6036613,1.1703774,-0.30816066,-1.6349849,1.9757224,0.28779227,0.5349291,-1.4309366,0
-0.620274,1.1488687,-0.3883482,-1.4168359,2.0484433,0.19471082,0.52867,-1.430371,0
2.4170244,-1.6482114,0.5123501,2.0007577,-1.0399288,0.34261575,0.22923605,-0.5604397,0
-1.5619533,1.1087775,-0.22498679,-0.92766446,2.5986266,-0.26911265,0.741725,-2.040303,0
-0.58713037,1.1296493,-0.25477144,-1.5446738,2.0168035,0.36430648,0.35614687,-1.4539518,0
-0.8274754,0.5344667,-1.5908775,-0.52196425,-0.22010404,1.383484,-0.65926564,0.7149296,0
